default_country_code,search,orig_ad_url,work_from_home,open_source,startup,kegerator,bleeding_edge_tech,meaningful_jobs
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=07dcf53afd6af095,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=e788f5a30aebca17,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=493b467d37489cf8,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=3f073715af9199ff,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=082c9b8b4f0fc11f,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=50d68e09bd4b80e2,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=f894030683da5be5,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=97f9462e2823c55b,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=e6d1190eae81a18a,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=b270ba5590b11de8,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=7b7aaea5e47653eb,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=88808a128f34a038,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=ec7e2d70b15261bb,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=0cfea824703c64da,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=8568656dc1d69061,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=095ae49b3b0243cb,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=83992eabc1e1fb10,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=3f9a95b245cd7c69,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=7aa785bdd325aad4,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=2a63e0caeae0d75a,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=383803bd5684016f,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=a7a56038f501fb3b,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=3c6ca47ec6fcb8ea,"","","","",on,""
