name,priority,latitude,longitude
"new york, new york",100020,40.71455, -74.007124
"boston, massachusetts",100015,42.358635, -71.056699
"washington, washington, d.c.",100014,38.89037, -77.031959
"austin, texas",100010,30.267605, -97.742984
"raleigh, north carolina",100007,35.78551, -78.642669
"denver, colorado",100006,39.74001, -104.992259
"seattle, washington",100005,47.60356, -122.329439
"mountain view, california",100004,37.38967, -122.081608
"san francisco, california",100003,37.777125, -122.419644
