name,priority,latitude,longitude
"melbourne, victoria",0,-37.817532, 144.967148
"sidney, new south wales",0,-33.869629, 151.206955
"canberra, canberra",0,-35.306541, 149.126556
"perth, western australia",0,-31.95302, 115.857239
"brisbane, queensland",0,-27.46888, 153.022827
