name,priority,latitude,longitude
"london, england",0,51.506325, -0.127144
"manchester, england",0,53.479605, -2.248818
"salford, england",0,53.48973, -2.284299
"edinburgh, scotland",0,55.954155, -3.202774
"cambridge, england",0,52.20987, 0.111565
"oxford, england",0,51.756205, -1.259489
"coventry, england",0,52.406986, -1.507768
"glasgow, scotland",0,55.857809, -4.242511
"brighton, england",0,50.828481, -0.134429
