name,priority,latitude,longitude
"toronto, ontario",0,43.64856, -79.385324
"vancouver, british columbia",0,49.26044, -123.114034
"montreal, quebec",0,45.512303, -73.554431
"calgary, alberta",0,51.04522, -114.063014
"edmonton, alberta",0,53.54622, -113.490374
"winnipeg, manitoba",0,49.89944, -97.140794
"ottawa, ontario",0,45.42178, -75.691184
"halifax, nova scotia",0,44.64616, -63.573919
