name,title,description,developer_text,tag,order
work-from-home,work from home,"You have a fully distributed organization, so that candidates can work full-time from a location of their choice.",No commute! No cubicles! These jobs are in  distributed organizations where you can work full-time from your home.,work from home,9400
bleeding-edge-tech,bleeding-edge tech,"Jobs in cutting-edge technologies like 3D printing, self-driving cars, or any other next-gen tech.","Jobs in cutting-edge technologies like 3D printing, Internet of Things, self-driving cars, or  other next-gen tech.",bleeding-edge tech,9800
open-source,open-source,Your organization is enthusiastic about open source software.,Jobs in organizations which are enthusiastic about open-source software.,open-source contribution,9700
meaningful-jobs,work with meaning,"Doing well while doing good—developing new technologies to cure disease, to protect the environment, and to help humanity.","Jobs that let you do well while doing good: developing new technologies to cure disease, protect the environment, and help humanity.",work with meaning,9600
startup,hot startup,You've got a hot startup,a fast-growing company where energy and self-motivation thrive.,hot startup,9500
kegerator,awesome workplace,"You've got a kegerator, pool table, gym, zip-line, and anything else that makes employees feel like hanging out.","Jobs in fun offices with a kegerator, pool tables, gym, zip-lines, and anything  that makes you feel like hanging out.",awesome workplace,9300
